Date (UTC-3:00),Token,Type,Price (BRL),Amount,Total value (BRL),Fee,Fee Currency,Notes
"2025-04-17 11:00:00","BTC","buy","497,737.30","0.0001374","68.42","1.5800","BRL",""
"2025-04-04 13:45:00","BTC","buy","485,780.82","0.0001408","68.42","1.5800","BRL",""
"2025-03-20 12:00:00","BTC","buy","490,931.44","0.00009954","48.87","1.1300","BRL",""
"2025-03-05 10:30:00","BTC","buy","531,875.82","0.00009188","48.87","1.1300","BRL",""
"2024-12-26 23:00:00","BTC","buy","596,923.77","0.00004911","29.31","0.1","BRL",""
"2024-10-05 06:30:00","BTC","buy","343,013.73","0.00001428","4.8982","0.1","BRL",""
"2024-10-05 04:30:00","BTC","buy","343,208.50","0.00001427","4.8976","0.1","BRL",""
"2024-10-05 03:30:00","BTC","buy","343,003.48","0.00001428","4.8981","0.1","BRL",""
"2024-10-05 02:30:00","BTC","buy","342,750.22","0.00001429","4.8979","0.1","BRL",""
"2024-10-05 01:30:00","BTC","buy","341,829.13","0.00001433","4.8984","0.1","BRL",""
"2024-10-05 00:30:00","BTC","buy","341,883.91","0.00001433","4.8992","0.1","BRL",""
"2024-10-04 23:30:00","BTC","buy","342,462.20","0.0000143","4.8972","0.1","BRL",""
"2024-10-04 22:30:00","BTC","buy","342,265.81","0.00001431","4.8978","0.1","BRL",""
"2024-10-04 21:30:00","BTC","buy","342,669.82","0.00001429","4.8968","0.1","BRL",""
"2024-10-04 20:30:00","BTC","buy","342,405.51","0.00001431","4.8998","0.1","BRL",""
"2024-09-27 11:10:00","BTC","buy","362,179.89","0.00001352","4.8967","0.1","BRL",""
"2024-09-27 10:10:00","BTC","buy","361,667.34","0.00001354","4.8970","0.1","BRL",""
"2024-09-27 09:10:00","BTC","buy","358,443.30","0.00001367","4.8999","0.1","BRL",""
"2024-09-27 08:10:00","BTC","buy","358,688.52","0.00001366","4.8997","0.1","BRL",""
"2024-09-27 07:10:00","BTC","buy","358,133.76","0.00001368","4.8993","0.1","BRL",""
